Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done
0, 0, 16228, 1, [0, 1], False
0, -1, 21635, 2, [0, 2], False
0, -2, 21650, 2, [0, 2], False
0, -5, 26908, 3, [0, 3], False
0, -6, 33430, 4, [1, 3], False
0, -7, 33448, 4, [1, 3], False
0, -10, 38958, 5, [0, 3], False
0, -11, 38975, 5, [0, 3], False
0, -14, 38994, 5, [0, 3], False
0, -17, 39006, 5, [0, 3], False
0, -20, 45063, 6, [0, 2], False
0, -21, 51571, 7, [1, 2], False
0, -22, 57394, 8, [0, 2], False
0, -23, 57412, 8, [0, 2], False
0, -26, 57431, 8, [0, 2], False
0, -29, 64851, 9, [0, 3], False
0, -30, 64866, 9, [0, 3], False
0, -33, 64886, 9, [0, 3], False
0, -36, 74259, 10, [0, 2], False
0, -37, 74275, 10, [0, 2], False
0, -40, 80695, 11, [1, 2], False
0, -41, 86490, 12, [2, 2], False
0, -42, 92298, 13, [1, 2], False
0, -43, 98700, 14, [1, 3], False
0, -44, 105522, 15, [2, 3], False
0, -45, 111500, 16, [1, 3], False
0, -46, 111524, 16, [1, 3], False
0, -49, 111541, 16, [1, 3], False
0, -52, 116770, 17, [0, 3], False
0, -53, 123091, 18, [0, 2], False
0, -54, 127210, 18, [0, 2], False
1, 0, 143455, 1, [0, 1], False
1, -1, 148943, 2, [0, 2], False
1, -2, 154300, 3, [0, 3], False
1, -3, 154318, 3, [0, 3], False
1, -6, 154334, 3, [0, 3], False
1, -9, 154349, 3, [0, 3], False
1, -12, 154361, 3, [0, 3], False
1, -15, 160589, 4, [1, 3], False
1, -16, 165866, 5, [0, 3], False
1, -17, 165882, 5, [0, 3], False
1, -20, 172321, 6, [0, 2], False
1, -21, 177553, 7, [0, 1], False
1, -22, 184090, 8, [1, 1], False
1, -23, 190323, 9, [1, 0], False
1, -24, 190339, 9, [1, 0], False
1, -27, 196530, 10, [0, 0], False
1, -28, 196544, 10, [0, 0], False
1, -31, 196564, 10, [0, 0], False
1, -34, 205622, 11, [0, 1], False
1, -35, 215583, 12, [1, 1], False
1, -36, 222088, 13, [1, 2], False
1, -37, 228562, 14, [2, 2], False
1, -38, 235031, 15, [2, 1], False
1, -39, 242401, 16, [2, 2], False
1, -40, 248306, 17, [2, 3], False
1, -41, 254710, 18, [1, 3], False
1, -42, 254724, 18, [1, 3], False
1, -45, 261121, 19, [1, 2], False
1, -46, 268094, 20, [1, 3], False
1, -47, 268110, 20, [1, 3], False
1, -50, 271418, 20, [1, 3], False
2, 0, 281544, 0, [0, 0], False
2, -3, 281559, 0, [0, 0], False
2, -6, 286792, 1, [1, 0], False
2, -7, 293811, 2, [1, 1], False
2, -8, 300290, 3, [2, 1], False
2, -9, 308072, 4, [2, 0], False
2, -10, 314301, 5, [1, 0], False
2, -11, 314318, 5, [1, 0], False
2, -14, 319692, 6, [2, 0], False
2, -15, 325058, 7, [3, 0], False
2, -16, 332381, 8, [3, 1], False
2, -17, 339220, 9, [3, 0], False
2, -18, 347219, 10, [3, 1], False
2, -19, 354510, 11, [3, 2], False
2, -20, 361174, 12, [3, 1], False
2, -21, 361190, 12, [3, 1], False
2, -24, 369000, 13, [2, 1], False
2, -25, 375131, 14, [2, 0], False
2, -26, 391078, 14, [3, 0], False
2, -27, 391095, 14, [3, 0], False
2, -30, 391112, 14, [3, 0], False
2, -33, 391126, 14, [3, 0], False
2, -36, 391140, 14, [3, 0], False
2, -39, 399423, 15, [3, 1], False
2, -40, 405644, 16, [2, 1], False
2, -41, 411495, 17, [1, 1], False
2, -42, 416818, 18, [2, 1], False
2, -43, 424131, 19, [2, 0], False
2, -44, 431140, 20, [2, 1], False
2, -45, 437432, 21, [3, 1], False
2, -46, 440680, 21, [3, 1], False
3, 0, 456158, 1, [1, 0], False
3, -1, 461630, 2, [2, 0], False
3, -2, 461646, 2, [2, 0], False
3, -5, 468721, 3, [2, 1], False
3, -6, 475820, 4, [3, 1], False
3, -7, 482891, 5, [3, 2], False
3, -8, 489690, 6, [3, 1], False
3, -9, 497400, 7, [3, 2], False
3, -10, 504399, 8, [3, 1], False
3, -11, 504416, 8, [3, 1], False
3, -14, 512173, 9, [3, 2], False
3, -15, 512190, 9, [3, 2], False
3, -18, 518702, 10, [2, 2], False
3, -19, 524071, 11, [1, 2], False
3, -20, 529832, 12, [2, 2], False
3, -21, 536390, 13, [2, 3], False
3, -22, 544190, 14, [3, 3], False
3, -17, 550103, 14, [3, 3], False
4, 0, 566673, 1, [0, 1], False
4, -1, 566690, 1, [0, 1], False
4, -4, 572800, 2, [1, 1], False
4, -5, 578286, 3, [0, 1], False
4, -6, 584761, 4, [0, 2], False
4, -7, 590421, 5, [0, 3], False
4, -8, 597260, 6, [1, 3], False
4, -9, 597291, 6, [1, 3], False
4, -12, 603393, 7, [1, 2], False
4, -13, 609669, 8, [0, 2], False
4, -14, 616182, 9, [0, 3], False
4, -15, 623090, 10, [1, 3], False
4, -16, 623106, 10, [1, 3], False
4, -19, 628290, 11, [0, 3], False
4, -20, 636069, 12, [0, 2], False
4, -21, 636086, 12, [0, 2], False
4, -24, 643771, 13, [0, 3], False
4, -25, 643790, 13, [0, 3], False
4, -28, 650279, 14, [1, 3], False
4, -29, 656521, 15, [1, 2], False
4, -30, 662691, 16, [0, 2], False
4, -31, 669220, 17, [0, 3], False
4, -32, 669236, 17, [0, 3], False
4, -35, 675979, 18, [1, 3], False
4, -36, 681781, 19, [2, 3], False
4, -37, 688441, 20, [2, 2], False
4, -38, 695211, 21, [2, 3], False
4, -39, 702164, 22, [3, 3], False
4, -34, 708032, 22, [3, 3], False
5, 0, 718159, 0, [0, 0], False
5, -3, 726080, 1, [1, 0], False
5, -4, 732540, 2, [2, 0], False
5, -5, 732558, 2, [2, 0], False
5, -8, 740851, 3, [2, 1], False
5, -9, 751169, 4, [2, 2], False
5, -10, 760622, 5, [1, 2], False
5, -11, 771710, 6, [2, 2], False
5, -12, 780743, 7, [2, 1], False
5, -13, 788540, 8, [1, 1], False
5, -14, 794578, 9, [0, 1], False
5, -15, 801859, 10, [0, 2], False
5, -16, 808780, 11, [0, 3], False
5, -17, 816542, 12, [1, 3], False
5, -18, 823420, 13, [2, 3], False
5, -19, 829959, 14, [1, 3], False
5, -20, 836430, 15, [2, 3], False
5, -21, 843630, 16, [2, 2], False
5, -22, 850928, 17, [2, 3], False
5, -23, 858041, 18, [3, 3], False
