Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
0, 0, 12607, 0, [0, 0], False, child
0, -3, 12631, 0, [0, 0], False, child
0, -6, 12657, 0, [0, 0], False, child
0, -9, 12684, 0, [0, 0], False, child
0, -12, 12712, 0, [0, 0], False, child
0, -15, 18950, 1, [0, 1], False, child
0, -16, 24288, 2, [0, 2], False, child
0, -17, 24317, 2, [0, 2], False, child
0, -20, 32757, 3, [0, 1], False, child
0, -21, 39680, 4, [0, 2], False, child
0, -22, 44926, 5, [0, 3], False, child
0, -23, 44951, 5, [0, 3], False, child
0, -26, 44979, 5, [0, 3], False, child
0, -29, 51837, 6, [0, 2], False, child
0, -30, 58497, 7, [1, 2], False, child
0, -31, 64907, 8, [1, 1], False, child
0, -32, 71346, 9, [0, 1], False, child
0, -33, 71374, 9, [0, 1], False, child
0, -36, 77721, 10, [0, 0], False, child
0, -37, 84356, 11, [1, 0], False, child
0, -38, 90707, 12, [1, 1], False, child
0, -39, 96957, 13, [2, 1], False, child
0, -40, 102978, 14, [3, 1], False, child
0, -41, 106259, 14, [3, 1], False
1, 0, 8108, 0, [0, 0], False, child
1, -3, 8138, 0, [0, 0], False, child
1, -6, 8167, 0, [0, 0], False, child
1, -9, 13586, 1, [1, 0], False, child
1, -10, 18895, 2, [0, 0], False, child
1, -11, 18929, 2, [0, 0], False, child
1, -14, 18960, 2, [0, 0], False, child
1, -17, 25537, 3, [0, 1], False, child
1, -18, 25565, 3, [0, 1], False, child
1, -21, 25598, 3, [0, 1], False, child
1, -24, 32165, 4, [1, 1], False, child
1, -25, 37916, 5, [2, 1], False, child
1, -26, 43414, 6, [1, 1], False, child
1, -27, 48978, 7, [2, 1], False, child
1, -28, 54837, 8, [1, 1], False, child
1, -29, 60376, 9, [0, 1], False, child
1, -30, 60413, 9, [0, 1], False, child
1, -33, 67044, 10, [0, 2], False, child
1, -34, 74118, 11, [0, 1], False, child
1, -35, 81155, 12, [0, 2], False, child
1, -36, 88146, 13, [0, 1], False, child
1, -37, 88173, 13, [0, 1], False, child
1, -40, 95056, 14, [0, 2], False, child
1, -41, 98307, 14, [0, 2], False
2, 0, 14336, 1, [0, 1], False, child
2, -1, 19578, 2, [0, 2], False, child
2, -2, 19606, 2, [0, 2], False, child
2, -5, 19637, 2, [0, 2], False, child
2, -8, 25976, 3, [1, 2], False, child
2, -9, 32085, 4, [1, 3], False, child
2, -10, 38848, 5, [1, 2], False, child
2, -11, 45096, 6, [2, 2], False, child
2, -12, 51114, 7, [2, 3], False, child
2, -13, 57907, 8, [2, 2], False, child
2, -14, 65208, 9, [1, 2], False, child
2, -15, 70519, 10, [0, 2], False, child
2, -16, 70550, 10, [0, 2], False, child
2, -19, 76866, 11, [0, 3], False, child
2, -20, 76894, 11, [0, 3], False, child
2, -23, 76922, 11, [0, 3], False, child
2, -26, 76965, 11, [0, 3], False, child
2, -29, 77000, 11, [0, 3], False, child
2, -32, 83166, 12, [1, 3], False, child
2, -33, 89300, 13, [1, 2], False, child
2, -34, 96066, 14, [0, 2], False, child
2, -35, 96094, 14, [0, 2], False, child
2, -38, 102216, 15, [1, 2], False, child
2, -39, 105518, 15, [1, 2], False
3, 0, 14795, 1, [0, 1], False, child
3, -1, 20364, 2, [0, 2], False, child
3, -2, 27135, 3, [1, 2], False, child
3, -3, 33385, 4, [1, 3], False, child
3, -4, 39575, 5, [0, 3], False, child
3, -5, 45465, 6, [1, 3], False, child
3, -6, 50825, 7, [2, 3], False, child
3, -7, 56335, 8, [3, 3], True, child
3, -2, 59544, 8, [3, 3], True
4, 0, 13368, 1, [1, 0], False, child
4, -1, 18769, 2, [0, 0], False, child
4, -2, 18796, 2, [0, 0], False, child
4, -5, 24929, 3, [0, 1], False, child
4, -6, 30349, 4, [0, 2], False, child
4, -7, 36549, 5, [1, 2], False, child
4, -8, 42058, 6, [2, 2], False, child
4, -9, 48298, 7, [2, 3], False, child
4, -10, 55200, 8, [3, 3], True, child
4, -5, 58484, 8, [3, 3], True
5, 0, 21623, 0, [0, 1], False, None
5, -1, 23633, 0, [0, 2], False, None
5, -2, 25644, 0, [0, 3], False, None
5, -3, 28564, 0, [1, 3], False, None
5, -4, 28607, 0, [1, 3], False, None
5, -7, 30616, 0, [2, 3], False, None
5, -8, 30646, 0, [2, 3], False, None
5, -11, 32643, 0, [3, 3], True, None
5, -6, 35794, 0, [3, 3], True
6, 0, 14025, 0, [0, 1], False, None
6, -1, 16956, 0, [1, 1], False, None
6, -2, 19897, 0, [1, 2], False, None
6, -3, 22856, 0, [2, 2], False, None
6, -4, 24866, 0, [1, 2], False, None
6, -5, 27807, 0, [1, 3], False, None
6, -6, 30755, 0, [2, 3], False, None
6, -7, 32745, 0, [3, 3], True, None
6, -2, 35919, 0, [3, 3], True
7, 0, 14008, 0, [0, 1], False, None
