Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
0, 0, 11009, 0, [0, 1], False, None
0, -1, 13010, 0, [0, 2], False, None
0, -2, 15991, 0, [1, 2], False, None
0, -3, 18962, 0, [1, 3], False, None
0, -4, 21870, 0, [2, 3], False, None
0, -5, 23881, 0, [3, 3], True, None
0, 0, 28663, 0, [3, 3], True
1, 0, 14023, 0, [0, 1], False, None
1, -1, 16032, 0, [0, 2], False, None
1, -2, 19003, 0, [1, 2], False, None
1, -3, 21992, 0, [1, 3], False, None
1, -4, 24922, 0, [2, 3], False, None
1, -5, 26954, 0, [3, 3], True, None
1, 0, 30173, 0, [3, 3], True
2, 0, 14005, 0, [0, 1], False, None
2, -1, 16007, 0, [0, 2], False, None
2, -2, 18966, 0, [1, 2], False, None
2, -3, 21896, 0, [1, 3], False, None
2, -4, 24874, 0, [2, 3], False, None
2, -5, 26868, 0, [3, 3], True, None
2, 0, 30020, 0, [3, 3], True
3, 0, 16555, 0, [0, 1], False, None
