Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
0, 0, 10081, 0, [1, 3], False, None
0, -1, 13002, 0, [1, 2], False, None
0, -2, 15012, 0, [1, 1], False, None
0, -3, 17012, 0, [1, 0], False, None
0, -4, 19932, 0, [2, 0], False, None
0, -5, 21952, 0, [3, 0], True, None
0, 0, 26083, 0, [3, 0], True
1, 0, 13111, 0, [1, 3], False, None
1, -1, 16049, 0, [1, 2], False, None
1, -2, 18998, 0, [2, 2], False, None
1, -3, 21919, 0, [2, 3], False, None
1, -4, 24879, 0, [3, 3], True, None
1, 1, 28127, 0, [3, 3], True
2, 0, 13075, 0, [1, 3], False, None
2, -1, 16020, 0, [1, 2], False, None
2, -2, 18929, 0, [2, 2], False, None
2, -3, 21851, 0, [2, 3], False, None
2, -4, 24790, 0, [3, 3], True, None
2, 1, 28004, 0, [3, 3], True
