Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
0, 0, 10082, 0, [1, 3], False, None
0, -1, 12088, 0, [2, 3], False, None
0, -2, 14120, 0, [3, 3], True, None
0, 3, 18227, 0, [3, 3], True
1, 0, 13073, 0, [1, 3], False, None
1, -1, 16001, 0, [1, 2], False, None
1, -2, 18932, 0, [2, 2], False, None
1, -3, 21851, 0, [2, 3], False, None
1, -4, 24805, 0, [3, 3], True, None
1, 1, 28061, 0, [3, 3], True
2, 0, 13080, 0, [1, 3], False, None
2, -1, 16010, 0, [1, 2], False, None
2, -2, 18949, 0, [2, 2], False, None
2, -3, 21879, 0, [2, 3], False, None
2, -4, 24811, 0, [3, 3], True, None
2, 1, 28006, 0, [3, 3], True
