Episode #, Reward, Time, Num_feedbacks, agent_pos, is_done, username
0, 0, 11000, 0, [0, 1], False, None
0, -1, 13019, 0, [0, 2], False, None
0, -2, 15942, 0, [1, 2], False, None
0, -3, 17961, 0, [2, 2], False, None
0, -4, 20909, 0, [2, 3], False, None
0, -5, 23849, 0, [3, 3], True, None
0, 0, 28454, 0, [3, 3], True
1, 0, 13998, 0, [0, 1], False, None
1, -1, 16005, 0, [0, 2], False, None
1, -2, 18946, 0, [1, 2], False, None
1, -3, 21894, 0, [1, 3], False, None
1, -4, 24816, 0, [2, 3], False, None
1, -5, 26827, 0, [3, 3], True, None
1, 0, 30049, 0, [3, 3], True
2, 0, 14006, 0, [0, 1], False, None
2, -1, 16013, 0, [0, 2], False, None
2, -2, 18945, 0, [1, 2], False, None
2, -3, 20955, 0, [2, 2], False, None
2, -4, 23884, 0, [2, 3], False, None
2, -5, 26838, 0, [3, 3], True, None
2, 0, 30019, 0, [3, 3], True
